Price,$ per sqr meter,Boat Type,Manufacturer,Type,Year Built,Length,Width,Meter Squared,Material,Location,Number of views last 7 days,Latitude,Longitude
1995000,15605.05369,Flybridge,Sunseeker power boats,"Used boat,Diesel",2014,23.16,5.52,127.8432,GRP,Montenegro Ã‚Â» Tivat,61,42.4349809,18.7066398
2107000,18964.21371,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,21.7,5.12,111.104,GRP,Spain Ã‚Â» Poligono Industrial a Tomada,45,42.6023853,-8.9624886
2099160,20108.66858,Motor Yacht,Fairline power boats,"new boat from stock,Diesel",2007,19.96,5.23,104.3908,GRP,Germany Ã‚Â» Ostsee Ã‚Â» OSTSEE / DEUTSCHLAND,211,51.165691,10.451526
1950000,13081.02386,Hardtop,Sunseeker power boats,"Used boat,Diesel",2014,24.97,5.97,149.0709,GRP,France Ã‚Â» Cannes,94,43.552847,7.017369
1950000,15453.23139,Flybridge,Sunseeker power boats,"Used boat,Diesel",2016,22.86,5.52,126.1872,GRP,Spain Ã‚Â» Alicante,56,38.3459963,-0.4906855
2058000,11833.96567,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,27.43,6.34,173.9062,GRP,Turkey Ã‚Â» Marmaris,85,36.854936,28.270878
2058000,13764.04494,Flybridge,Astondoa power boats,"Used boat,Diesel",2014,24.92,6,149.52,GRP,Spain Ã‚Â» Alicante,96,38.3459963,-0.4906855
2058000,11334.15944,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2007,26.9,6.75,181.575,GRP,Italy Ã‚Â» Mar Ligure,64,44.3167917,8.3964938
2009000,17481.72642,Flybridge,Sunseeker power boats,"Used boat,Diesel",2019,22.1,5.2,114.92,GRP,Germany,141,51.165691,10.451526
2597000,14749.3128,Motor Yacht,Azimut power boats,"Used boat,Diesel",2012,26.8,6.57,176.076,GRP,Spain Ã‚Â» Mallorca Ã‚Â» Palma,127,39.5696005,2.6501603
2395000,18094.1804,Flybridge,Sunseeker power boats,"Used boat,Diesel",2017,23.1,5.73,132.363,GRP,Switzerland Ã‚Â» Southcoast GB,251,46.818188,8.227512
2567600,16380.22329,Motor Yacht,Sanlorenzo power boats,new boat from stock,2019,23.75,6.6,156.75,GRP,Netherlands,101,52.132633,5.291266
2450000,12152.77778,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2003,32,6.3,201.6,GRP,Croatia (Hrvatska) Ã‚Â» Split,198,45.1,15.2
2450000,11795.5641,Motor Yacht,Princess power boats,"Used boat,Diesel",2008,29.42,7.06,207.7052,GRP,Italy Ã‚Â» Sardinien,134,40.1208752,9.0128926
2450000,13568.7089,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2006,26.75,6.75,180.5625,GRP,France Ã‚Â» Port La Napoule,118,43.5251288,6.9440873
2450000,11754.56845,Flybridge,Azimut power boats,"Used boat,Diesel",2007,31.39,6.64,208.4296,GRP,Bulgaria Ã‚Â» .,70,42.733883,25.48583
3250000,23047.78195,Flybridge,Sunseeker power boats,"Used boat,Diesel",2019,23.62,5.97,141.0114,GRP,Spain Ã‚Â» Mallorca Ã‚Â» Mallorca,87,39.6952629,3.0175712
3378628,27599.56215,Motor Yacht,BLUEGAME power boats,new boat from stock,2020,21.86,5.6,122.416,GRP,Netherlands,95,52.132633,5.291266
3341800,30755.60988,Motor Yacht,Riva power boats,new boat from stock,2020,20.54,5.29,108.6566,GRP,Netherlands,285,52.132633,5.291266
3332000,19190.01106,Flybridge,Sunseeker power boats,"Used boat,Diesel",2011,27.13,6.4,173.632,GRP,Portugal Ã‚Â» Vilamoura,66,37.0880677,-8.118806
3322200,18156.57877,Motor Yacht,Sunseeker power boats,Used boat,2013,28.15,6.5,182.975,GRP,Spain Ã‚Â» Alicante,121,38.3459963,-0.4906855
2995000,21239.41752,Flybridge,Sunseeker power boats,"Used boat,Diesel",2018,23.62,5.97,141.0114,GRP,Greece Ã‚Â» Athens,52,37.9838096,23.7275388
3136000,17367.94739,Motor Yacht,Sanlorenzo power boats,Used boat,2008,26.75,6.75,180.5625,GRP,Croatia (Hrvatska),56,45.1,15.2
3136000,22806.74195,Flybridge,Princess power boats,"Used boat,Diesel",2017,24.38,5.64,137.5032,GRP,Croatia (Hrvatska) Ã‚Â» INFO BOOTE RIEDL DUBROVNIK,73,42.6506606,18.0944238
5390000,25632.97761,Mega Yacht,Ferretti power boats,Used boat,2013,29.7,7.08,210.276,GRP,Portugal Ã‚Â» Vilamoura,106,37.0880677,-8.118806
5292000,23679.44157,Mega Yacht,Sanlorenzo power boats,"Used boat,Diesel",2013,31.7,7.05,223.485,GRP,Spain,95,40.463667,-3.74922
5292000,23512.68494,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2013,31.7,7.1,225.07,GRP,Spain Ã‚Â» Mallorca Ã‚Â» Palma de Mallorca,117,39.5696005,2.6501603
5292000,26941.58076,Motor Yacht,Sanlorenzo power boats,Used boat,2016,29.1,6.75,196.425,GRP,Netherlands,105,52.132633,5.291266
4850000,28618.63457,Motor Yacht,Princess power boats,"Used boat,Diesel",2018,26.9,6.3,169.47,GRP,Italy Ã‚Â» Sardinien,695,40.1208752,9.0128926
4780000,28047.69281,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,26.3,6.48,170.424,GRP,United Kingdom Ã‚Â» Poole,59,50.71505,-1.987248
5104673,32565.69697,Motor Yacht,Sanlorenzo power boats,new boat from stock,2020,23.75,6.6,156.75,GRP,Netherlands,110,52.132633,5.291266
11662000,44871.79487,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2019,35.36,7.35,259.896,GRP,Italy Ã‚Â» San Remo,317,43.8159671,7.7760567
10780000,41478.12971,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2017,35.36,7.35,259.896,GRP,Monaco,197,43.7384176,7.4246158
9995000,31730.06807,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2015,40.23,7.83,315.0009,GRP,France Ã‚Â» Antibes,178,43.580418,7.125102
10584000,40909.09091,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2018,35.2,7.35,258.72,GRP,Spain Ã‚Â» Altea,225,38.6029075,-0.0450666
10290000,37094.44845,Mega Yacht,Sanlorenzo power boats,Used boat,2016,36.5,7.6,277.4,GRP,Netherlands,220,52.132633,5.291266
9065000,27978.00648,Mega Yacht,Sunseeker power boats,Used boat,2012,40.05,8.09,324.0045,GRP,Netherlands,219,52.132633,5.291266
7742000,35283.15851,Mega Yacht,Sanlorenzo power boats,Used boat,2019,31.08,7.06,219.4248,GRP,Netherlands,122,52.132633,5.291266
7200085,39174.96858,Flybridge,Sunseeker power boats,"new boat on order,Diesel",2020,28.06,6.55,183.793,GRP,United Kingdom Ã‚Â» Poole / GB,535,50.71505,-1.987248
6850000,32208.25434,Flybridge,Princess power boats,"Used boat,Diesel",2018,30.21,7.04,212.6784,GRP,Spain Ã‚Â» Denia,603,38.8387992,0.1050557
7105000,27246.02335,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2015,35.05,7.44,260.772,GRP,Australia Ã‚Â» Brisbane City,122,-27.4704528,153.0260341
6500000,34110.56441,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,28.96,6.58,190.5568,GRP,Spain Ã‚Â» Torrevieja,84,37.9847003,-0.6808233
6958000,36514.04726,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2020,28.96,6.58,190.5568,GRP,Malta Ã‚Â» Portomaso,102,35.9219677,14.4924616
6360000,33375.87533,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2020,28.96,6.58,190.5568,GRP,United Kingdom Ã‚Â» Southampton,90,50.9105468,-1.4049018
6811000,26619.2671,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2013,34.53,7.41,255.8673,GRP,Monaco,163,43.7384176,7.4246158
6250000,29554.29289,Motor Yacht,Princess power boats,"Used boat,Diesel",2018,30.56,6.92,211.4752,GRP,Spain Ã‚Â» Alicante,206,38.3459963,-0.4906855
6664000,23199.30374,Mega Yacht,Cantieri di Pisa power boats,"Used boat,Diesel",2004,38.3,7.5,287.25,GRP,Greece,227,39.074208,21.824312
5995000,23430.11397,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2014,34.53,7.41,255.8673,GRP,France Ã‚Â» St Raphael,180,43.42519,6.76837
5750000,27063.72684,Mega Yacht,Princess power boats,"Used boat,Diesel",2018,30.57,6.95,212.4615,GRP,Spain Ã‚Â» Denia,103,38.8387992,0.1050557
5635153,33116.59546,Flybridge,Sunseeker power boats,"new boat on order,Diesel",2019,26.3,6.47,170.161,GRP,United Kingdom Ã‚Â» United Kingdom,209,55.378051,-3.435973
4802000,19207.71573,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2010,33.83,7.39,250.0037,GRP,France Ã‚Â» Antibes,129,43.580418,7.125102
4704000,27682.63832,Motor Yacht,Sanlorenzo power boats,Used boat,2016,26.76,6.35,169.926,GRP,Netherlands,108,52.132633,5.291266
4410000,21447.33003,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,29.8,6.9,205.62,GRP,Croatia (Hrvatska) Ã‚Â» Split,163,45.1,15.2
4307100,27477.51196,Motor Yacht,Sanlorenzo power boats,Used boat,2019,23.75,6.6,156.75,GRP,Netherlands,94,52.132633,5.291266
4214000,24191.86318,Motor Yacht,Pershing power boats,"Used boat,Diesel",2012,27.96,6.23,174.1908,GRP,France Ã‚Â» Six Four Les Plages,279,43.093062,5.839225
4165000,17572.06021,Mega Yacht,Johnson power boats,"Used boat,Diesel",2013,32.92,7.2,237.024,GRP,Taiwan Ã‚Â» Kaohsiung,118,22.6272784,120.3014353
3850000,22368.79106,Flybridge,Sunseeker power boats,"Used boat,Diesel",2017,26.52,6.49,172.1148,GRP,United Kingdom Ã‚Â» Lymington,45,50.758531,-1.5419099
4116000,25618.15628,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2016,26.21,6.13,160.6673,GRP,France Ã‚Â» Antibes,71,43.580418,7.125102
4067000,16606.77828,Mega Yacht,Italcraft power boats,"Used boat,Diesel",2019,31,7.9,244.9,GRP,Italy Ã‚Â» Mar Tirreno,136,40.6277743,14.8658148
4018000,28409.09091,Motor Yacht,Sanlorenzo power boats,Used boat,2019,24.64,5.74,141.4336,GRP,Netherlands,102,52.132633,5.291266
3650000,20266.96873,Flybridge,Sunseeker power boats,"Used boat,Diesel",2013,28.14,6.4,180.096,GRP,Croatia (Hrvatska) Ã‚Â» Split,99,45.1,15.2
3880800,26789.26441,Motor Yacht,Cranchi power boats,"new boat on order,Diesel",2020,25.15,5.76,144.864,GRP,France,166,46.227638,2.213749
3595000,25494.39265,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2019,23.62,5.97,141.0114,GRP,Spain Ã‚Â» Mallorca Ã‚Â» Mallorca,114,39.6952629,3.0175712
3822000,14150.3147,Mega Yacht,Couach power boats,"Used boat,Diesel",2008,37,7.3,270.1,GRP,France,153,46.227638,2.213749
3773000,23022.94362,Hardtop,ISA Yachts power boats,"Used boat,Diesel",2018,24.1,6.8,163.88,GRP,Italy Ã‚Â» Liguria Ã‚Â» Liguria,140,43.8182074,7.5570538
3675000,26759.38399,Motor Yacht,Pershing power boats,Used boat,2014,24.97,5.5,137.335,GRP,Netherlands,149,52.132633,5.291266
3616200,14808.35381,Mega Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,33,7.4,244.2,GRP,Italy,78,41.87194,12.56738
3136000,19496.27979,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,26.24,6.13,160.8512,GRP,Portugal Ã‚Â» Vilamoura,204,37.0880677,-8.118806
2895000,15767.69904,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,28.16,6.52,183.6032,GRP,France Ã‚Â» South of France,87,45.5126545,4.4904519
2785000,19750.17623,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,23.62,5.97,141.0114,GRP,United Kingdom Ã‚Â» Poole,26,50.71505,-1.987248
2785000,19750.17623,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,23.62,5.97,141.0114,GRP,United Kingdom Ã‚Â» Poole,38,50.71505,-1.987248
2940000,16282.45067,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2008,26.75,6.75,180.5625,GRP,Italy,57,41.87194,12.56738
2930200,13278.77173,Mega Yacht,Numarine power boats,"Used boat,Diesel",2015,31.08,7.1,220.668,GRP,Turkey Ã‚Â» Mu?la,99,38.963745,35.243322
2891000,18563.46638,Motor Yacht,Azimut power boats,"Used boat,Diesel",2016,25.2,6.18,155.736,GRP,Italy,109,41.87194,12.56738
2891000,15296.2963,Motor Yacht,Riva power boats,Used boat,2010,28,6.75,189,GRP,Netherlands,166,52.132633,5.291266
2891000,19093.47282,Motor Yacht,Monte Carlo power boats,Used boat,2018,24.62,6.15,151.413,GRP,Netherlands,113,52.132633,5.291266
2891000,13463.73268,Motor Yacht,Sunreef power boats,"Used boat,Diesel",2017,20.45,10.5,214.725,GRP,Spain,164,40.463667,-3.74922
2842000,17061.69104,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2012,26.44,6.3,166.572,GRP,Spain,172,40.463667,-3.74922
2842000,18217.94872,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,26,6,156,GRP,Italy,74,41.87194,12.56738
2842000,24858.95473,Flybridge,Princess power boats,"Used boat,Diesel",2019,21.25,5.38,114.325,GRP,Croatia (Hrvatska) Ã‚Â» INFO BOOTE RIEDL TROGIR,85,43.516387,16.2501894
2841020,23007.93651,Flybridge,Azimut power boats,"Used boat,Diesel",2017,22.05,5.6,123.48,GRP,United States Ã‚Â» Florida,77,27.6648274,-81.5157535
2509220,20438.11435,Motor Yacht,Sunseeker power boats,"new boat on order,Diesel",2019,22.82,5.38,122.7716,GRP,United Kingdom Ã‚Â» United Kingdom,125,55.378051,-3.435973
2695000,13002.36407,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2005,32.9,6.3,207.27,GRP,France Ã‚Â» Cannes,331,43.552847,7.017369
2646000,17128.70806,Flybridge,Azimut power boats,"Used boat,Diesel",2013,23.95,6.45,154.4775,GRP,Italy Ã‚Â» Lazio Ã‚Â» Latina,158,41.4675671,12.9035965
2420000,21108.12419,Flybridge,Princess power boats,"Used boat,Diesel",2019,21.31,5.38,114.6478,GRP,France Ã‚Â» Nice,142,43.7101728,7.2619532
2597000,15987.44152,Flybridge,Riva power boats,"Used boat,Diesel",2006,26.2,6.2,162.44,GRP,Spain Ã‚Â» Valencia,86,39.4699075,-0.3762881
2440200,9996.951999,Mega Yacht,Leopard power boats,"Used boat,Diesel",2006,32.16,7.59,244.0944,GRP,Italy Ã‚Â» Olbia,112,40.9235764,9.4964429
2265000,18465.12049,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2019,22.59,5.43,122.6637,GRP,Spain Ã‚Â» El Toro,84,40.463667,-3.74922
2265000,18465.12049,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2020,22.59,5.43,122.6637,GRP,United Kingdom Ã‚Â» Poole,50,50.71505,-1.987248
2401000,13297.33472,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,26.75,6.75,180.5625,GRP,Italy,37,41.87194,12.56738
2401000,22397.38806,Hardtop,Pershing power boats,"Used boat,Diesel",2017,21.44,5,107.2,GRP,Spain Ã‚Â» Costa Blanca Ã‚Â» Calpe,143,38.6436469,0.0456876
2195000,17281.39624,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,23.01,5.52,127.0152,GRP,United Kingdom Ã‚Â» Poole,100,50.71505,-1.987248
2352000,20748.05928,Mega Yacht,Greenline power boats,"new boat from stock,Diesel",2018,20.8,5.45,113.36,GRP,Slovenia Ã‚Â» Begunje,88,46.376736,14.2020202
2340240,19189.68783,Motor Yacht,Fjord power boats,"new boat on order,Diesel",2007,20.67,5.9,121.953,GRP,France,113,46.227638,2.213749
258000,2275.935074,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",2020,20.8,5.45,113.36,GRP,Denmark Ã‚Â» ab vÃƒÂ¦rft,54,56.26392,9.501785
2303000,14416.27543,Motor Yacht,Sunreef power boats,"Used boat,Diesel",2012,21.3,7.5,159.75,GRP,Spain Ã‚Â» Spanien,95,40.463667,-3.74922
2105000,17160.74112,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2019,22.59,5.43,122.6637,GRP,United Kingdom Ã‚Â» Poole,43,50.71505,-1.987248
2105000,17160.74112,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2019,22.59,5.43,122.6637,GRP,United Kingdom Ã‚Â» Southampton,33,50.9105468,-1.4049018
2099000,19130.26994,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2019,20.82,5.27,109.7214,GRP,United Kingdom Ã‚Â» Torquay,113,50.4619209,-3.525315
2254000,10871.40011,Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2008,32.91,6.3,207.333,GRP,Italy,115,41.87194,12.56738
2214800,20789.39242,Flybridge,Fairline power boats,"new boat from stock,Diesel",2007,20.37,5.23,106.5351,GRP,Germany Ã‚Â» Ostsee Ã‚Â» OSTSEE / DEUTSCHLAND,179,51.165691,10.451526
2205000,14540.92231,Hardtop,Sunseeker power boats,"Used boat,Diesel",2014,24.9,6.09,151.641,GRP,Switzerland Ã‚Â» Frankreich,196,46.227638,2.213749
2156000,15555.55556,Motor Yacht,Dominator power boats,"Used boat,Diesel",2012,23.1,6,138.6,GRP,Croatia (Hrvatska),87,45.1,15.2
2156000,12397.48784,Flybridge,Sunseeker power boats,"Used boat,Diesel",2008,27.43,6.34,173.9062,GRP,Italy Ã‚Â» Capo Ferro,94,41.1517434,9.5179876
2156000,10833.0821,Catamaran,Sunreef power boats,Used boat,2013,21.4,9.3,199.02,GRP,Croatia (Hrvatska) Ã‚Â» Dalmatia (HR),96,43.5240328,16.8178377
1995000,15605.05369,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,23.16,5.52,127.8432,GRP,United Kingdom Ã‚Â» Poole,57,50.71505,-1.987248
1955100,8224.79681,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2002,33.48,7.1,237.708,GRP,France Ã‚Â» CÃƒÂ´te d'Azur Ã‚Â» CÃƒÂ´te d'Azur,252,46.227638,2.213749
1950200,18751.92308,Motor Yacht,Pershing power boats,"Used boat,Diesel",2015,20.8,5,104,GRP,Croatia (Hrvatska) Ã‚Â» INFO BOOTE RIEDL TROGIR,157,43.516387,16.2501894
1945300,17007.0763,Motor Yacht,Prestige Yachts power boats,new boat from stock,2019,21.46,5.33,114.3818,GRP,Netherlands,70,52.132633,5.291266
1940400,12101.42144,Motor Yacht,Riva power boats,"Used boat,Diesel",2009,26.03,6.16,160.3448,GRP,France Ã‚Â» Antibes,130,43.580418,7.125102
1935500,8142.342706,Mega Yacht,Mangusta power boats,"Used boat,Diesel",2003,33.48,7.1,237.708,GRP,Spain,280,40.463667,-3.74922
1911000,10807.44204,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,27.89,6.34,176.8226,GRP,Italy Ã‚Â» Naples,172,40.8517983,14.26812
1862000,13678.50374,Motor Yacht,Filippetti power boats,"Used boat,Diesel",2008,23.47,5.8,136.126,GRP,Germany Ã‚Â» Nord,24,51.165691,10.451526
1852200,9444.458608,Flybridge,Ses Yachts power boats,"Used boat,Diesel",2019,32.15,6.1,196.115,GRP,Turkey Ã‚Â» Bodrum,141,37.034407,27.43054
1695000,15293.95523,Flybridge,Sunseeker power boats,"Used boat,Diesel",2018,21.03,5.27,110.8281,GRP,France Ã‚Â» Beaulieu-sur-Mer,46,43.7077201,7.3343701
1813000,10277.77778,Motor Yacht,Permare power boats,"Used boat,Diesel",2010,28,6.3,176.4,GRP,Croatia (Hrvatska),42,45.1,15.2
1813000,10277.77778,Motor Yacht,Permare power boats,"Used boat,Diesel",2009,28,6.3,176.4,GRP,Italy,56,41.87194,12.56738
1813000,8569.672906,Mega Yacht,Azimut power boats,"Used boat,Diesel",2007,30.75,6.88,211.56,GRP,France,112,46.227638,2.213749
1744400,13485.61993,Motor Yacht,MCY power boats,"Used boat,Diesel",2013,23.14,5.59,129.3526,GRP,Spain Ã‚Â» Mallorca Ã‚Â» Mallorca,70,39.6952629,3.0175712
1595000,14599.92988,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,20.73,5.27,109.2471,GRP,Spain Ã‚Â» Port Adriano,96,39.4906408,2.479154
1715000,11835.953,Flybridge,Dominator power boats,"Used boat,Diesel",2009,23.95,6.05,144.8975,GRP,Croatia (Hrvatska),44,45.1,15.2
1715000,10721.32982,Mega Yacht,Riva power boats,"Used boat,Diesel",2009,26.01,6.15,159.9615,GRP,Italy Ã‚Â» Adriatic Sea (Fano),226,43.8398164,13.0194201
1715000,11549.5993,Motor Yacht,Riva power boats,"Used boat,Diesel",2009,23.95,6.2,148.49,GRP,Italy,95,41.87194,12.56738
1715000,10288.71391,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,26.25,6.35,166.6875,GRP,France Ã‚Â» Cannes,67,43.552847,7.017369
258000,2728.411969,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",2020,18.95,4.99,94.5605,GRP,Denmark Ã‚Â» ab vÃƒÂ¦rft,87,56.26392,9.501785
1671872,22629.74523,Flybridge,Cranchi power boats,"new boat from stock,Diesel",2020,15.82,4.67,73.8794,GRP,"Italy Ã‚Â» Linz Marine Test Centre ""Italo Monzino""",62,45.4439371,9.2620922
1666000,11041.52169,Motor Yacht,Maiora power boats,"Used boat,Diesel",2008,23.95,6.3,150.885,GRP,Italy,57,41.87194,12.56738
1666000,16828.28283,Flybridge,Grand Banks power boats,"Used boat,Diesel",2012,18,5.5,99,GRP,France Ã‚Â» Bretagne Ã‚Â» Bretagne,225,48.0933919,-4.0002049
1666000,12792.50571,Motor Yacht,MCY power boats,"Used boat,Diesel",2011,23.05,5.65,130.2325,GRP,Italy Ã‚Â» Monfalcone,126,45.8050468,13.5331727
1665020,11491.01951,Flybridge,Dominator power boats,"Used boat,Diesel",2009,23.95,6.05,144.8975,GRP,Croatia (Hrvatska) Ã‚Â» INFO BOOTE RIEDL TROGIR,99,43.516387,16.2501894
1665020,8371.141277,Mega Yacht,Tecnomar power boats,"Used boat,Diesel",2009,30.6,6.5,198.9,GRP,Greece,110,39.074208,21.824312
1661100,14639.24067,Motor Yacht,Riva power boats,Used boat,2014,20.82,5.45,113.469,GRP,Netherlands,173,52.132633,5.291266
1656200,10457.26048,Flybridge,Ferretti power boats,"Used boat,Diesel",2008,25.3,6.26,158.378,GRP,Croatia (Hrvatska) Ã‚Â» INFO BOOTE RIEDL TROGIR,121,43.516387,16.2501894
1651300,16326.22795,Motor Yacht,BLUEGAME power boats,new boat from stock,2019,18.8,5.38,101.144,GRP,Netherlands,75,52.132633,5.291266
1617000,10924.86369,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2008,23.95,6.18,148.011,GRP,Italy,56,41.87194,12.56738
1570988,16029.75374,Flybridge,Prestige Yachts power boats,new boat from stock,2019,19.03,5.15,98.0045,GRP,Netherlands,74,52.132633,5.291266
1519000,9350.241327,Flybridge,Princess power boats,"Used boat,Diesel",2008,25.91,6.27,162.4557,GRP,Croatia (Hrvatska) Ã‚Â» INFO BOOTE RIEDL TROGIR,114,43.516387,16.2501894
1518020,12371.6499,Flybridge,Princess power boats,"Used boat,Diesel",2013,22.35,5.49,122.7015,GRP,Spain,38,40.463667,-3.74922
1470000,5230.386052,Mega Yacht,Mondo marine power boats,"Used boat,Diesel",1994,38.5,7.3,281.05,GRP,Spain Ã‚Â» Mittelmeer,454,40.463667,-3.74922
1470000,8105.068149,Motor Yacht,Dominator power boats,"Used boat,Diesel",2007,27.48,6.6,181.368,GRP,Croatia (Hrvatska),118,45.1,15.2
1470000,11585.56769,Motor Yacht,Filippetti power boats,"Used boat,Diesel",2008,23.85,5.32,126.882,GRP,Germany Ã‚Â» Nord Italien,39,51.165691,10.451526
1470000,9938.274526,Motor Yacht,Overmarine power boats,Used boat,2008,25.07,5.9,147.913,GRP,Germany Ã‚Â» Mittelmeer,65,51.165691,10.451526
1470000,17115.31297,Flybridge,Princess power boats,"Used boat,Diesel",2019,17.6,4.88,85.888,GRP,Croatia (Hrvatska) Ã‚Â» Adria,151,45.1,15.2
1470000,11969.5826,Flybridge,Princess power boats,"Used boat,Diesel",2012,22.37,5.49,122.8113,GRP,Greece Ã‚Â» .,82,39.074208,21.824312
1470000,10358.67804,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2007,23,6.17,141.91,GRP,Italy,64,41.87194,12.56738
1469020,14226.11566,Flybridge,MCY power boats,"Used boat,Diesel",2016,19.82,5.21,103.2622,GRP,Italy Ã‚Â» Genua,110,44.4056499,8.946256
1469020,15574.85157,Motor Yacht,Riva power boats,"Used boat,Diesel",2016,19.65,4.8,94.32,GRP,Spain Ã‚Â» Mallorca Ã‚Â» MALLORCA - PUERTO PORTALS,742,39.52957,2.5659349
1465100,11040.12756,Motor Yacht,Riva power boats,"Used boat,Diesel",2008,23.16,5.73,132.7068,GRP,Portugal Ã‚Â» Vilamoura,116,37.0880677,-8.118806
1460200,13855.92758,Flybridge,Azimut power boats,"Used boat,Diesel",2015,20.15,5.23,105.3845,GRP,France Ã‚Â» Francia Mediterraneo,51,46.227638,2.213749
1421000,11286.19764,Motor Yacht,Posillipo power boats,"Used boat,Diesel",2017,21.34,5.9,125.906,GRP,Italy Ã‚Â» Lazio Ã‚Â» Lazio,54,41.6552418,12.989615
1421000,12687.78321,Center console boat,Riva power boats,Used boat,2009,20.55,5.45,111.9975,GRP,Italy Ã‚Â» Campania Ã‚Â» Campania,142,40.6670887,15.1068113
1421000,7709.418403,Motor Yacht,Explorer power boats,"Used boat,Diesel",2004,25.6,7.2,184.32,GRP,Spain,66,40.463667,-3.74922
1301814,15532.41931,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,17.21,4.87,83.8127,GRP,Switzerland Ã‚Â» United Kingdom,124,46.818188,8.227512
1374935,15307.33005,Flybridge,Cranchi power boats,new boat from stock,2017,18.52,4.85,89.822,GRP,Netherlands Ã‚Â» onbekend,100,52.132633,5.291266
1344104,14964.08452,Motor Yacht,Cranchi power boats,new boat from stock,2017,18.52,4.85,89.822,GRP,Netherlands Ã‚Â» onbekend,83,52.132633,5.291266
1249000,11241.71947,Flybridge,Sunseeker power boats,"Used boat,Diesel",2014,21.7,5.12,111.104,GRP,Spain Ã‚Â» Menorca,58,39.9496287,4.1104449
1323000,9512.510785,Motor Yacht,Fairline power boats,Used boat,2010,24.4,5.7,139.08,GRP,Netherlands,72,52.132633,5.291266
1323000,8121.816193,Motor Yacht,Princess power boats,"Used boat,Diesel",2008,25.98,6.27,162.8946,GRP,Croatia (Hrvatska),62,45.1,15.2
1322020,10836.62922,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,22.55,5.41,121.9955,GRP,Croatia (Hrvatska),94,45.1,15.2
1274000,8447.043535,Motor Yacht,Amer power boats,"Used boat,Diesel",2008,23.94,6.3,150.822,GRP,Slovenia,56,46.151241,14.995463
1274000,10828.66485,Motor Yacht,Hatteras power boats,"Used boat,Diesel",2004,21.43,5.49,117.6507,GRP,Italy Ã‚Â» Olbia,27,40.9235764,9.4964429
1274000,11948.74233,Motor Yacht,Sessa power boats,Used boat,2016,21.03,5.07,106.6221,GRP,France,79,46.227638,2.213749
1264200,9610.472542,Motor Yacht,Ferretti power boats,"Used boat,Diesel",2005,22.68,5.8,131.544,GRP,Croatia (Hrvatska),33,45.1,15.2
